"","status","loan_amnt","term","annual_inc","dti","payment_inc_ratio","revol_bal","revol_util","purpose","home_ownership","delinq_2yrs_zero","pub_rec_zero","open_acc","grade","outcome","emp_length","purpose_","home_","emp_len_","borrower_score"
"25","Charged Off",12000,"36 months",42000,7.83,11.0486,9749,65.4,"debt_consolidation","RENT",1,1,8,5.2,"default",3,"debt_consolidation","RENT"," > 1 Year",0.4
"26","Charged Off",10000,"36 months",60000,22.08,6.6152,5626,29.3,"debt_consolidation","RENT",1,1,8,5.6,"default",9,"debt_consolidation","RENT"," > 1 Year",0.45
"27","Charged Off",13475,"60 months",25000,21.89,14.8795,9943,65.8,"credit_card","RENT",1,1,7,4.2,"default",11,"credit_card","RENT"," > 1 Year",0.5
"28","Charged Off",5600,"36 months",85000,12.24,2.72711,6812,90.8,"debt_consolidation","MORTGAGE",0,1,8,4.6,"default",2,"debt_consolidation","MORTGAGE"," > 1 Year",0.35
"29","Charged Off",2500,"36 months",12000,16.3,7.778,4853,42.2,"debt_consolidation","OWN",1,1,13,6.6,"default",0,"debt_consolidation","OWN"," < 1 Year",0.4
"30","Charged Off",10000,"36 months",65000,6.92,6.26418,14292,69.5,"small_business","RENT",0,1,12,4.2,"default",6,"small_business","RENT"," > 1 Year",0.55
"31","Charged Off",7750,"36 months",24000,16.1,13.868,2348,67.1,"debt_consolidation","RENT",1,1,4,3.6,"default",1,"debt_consolidation","RENT"," > 1 Year",0.45
"32","Charged Off",20000,"60 months",70000,16.63,9.2544,10470,79.9,"debt_consolidation","RENT",1,1,10,1.2,"default",7,"debt_consolidation","RENT"," > 1 Year",0.45
"33","Charged Off",21000,"60 months",60000,6.62,9.2814,10543,79.9,"debt_consolidation","RENT",1,1,7,5.6,"default",4,"debt_consolidation","RENT"," > 1 Year",0.35
"34","Charged Off",15000,"36 months",42000,19.63,15.2309,8238,74.9,"debt_consolidation","RENT",1,1,10,3.4,"default",11,"debt_consolidation","RENT"," > 1 Year",0.25
"35","Charged Off",15000,"36 months",75000,16.03,8.58896,13505,75.9,"debt_consolidation","RENT",1,1,10,3.6,"default",9,"debt_consolidation","RENT"," > 1 Year",0.5
"36","Charged Off",16000,"36 months",58500,20.64,11.0096,26224,89.3,"debt_consolidation","RENT",1,1,8,6,"default",2,"debt_consolidation","RENT"," > 1 Year",0.65
"37","Charged Off",12000,"36 months",70000,8.4,7.05789,11546,86.2,"other","MORTGAGE",1,1,7,4.4,"default",9,"other","MORTGAGE"," > 1 Year",0.4
"38","Charged Off",13650,"36 months",86000,12.29,6.36447,16140,73.4,"debt_consolidation","MORTGAGE",1,1,12,5.8,"default",11,"debt_consolidation","MORTGAGE"," > 1 Year",0.55
"39","Charged Off",10500,"36 months",30000,15,14.8264,5379,55.5,"debt_consolidation","RENT",1,1,7,3.2,"default",4,"debt_consolidation","RENT"," > 1 Year",0.55
"40","Charged Off",15075,"36 months",35000,20.16,17.7329,10570,89.6,"debt_consolidation","RENT",1,1,7,4.4,"default",11,"debt_consolidation","RENT"," > 1 Year",0.35
"41","Charged Off",9500,"36 months",52500,23.54,7.28411,23729,75.3,"moving","MORTGAGE",1,1,14,6,"default",1,"other","MORTGAGE"," > 1 Year",0.35
"42","Charged Off",26000,"60 months",53000,11.77,14.5576,7560,72.7,"home_improvement","MORTGAGE",1,1,5,3.4,"default",11,"home_improvement","MORTGAGE"," > 1 Year",0.5
"43","Charged Off",7000,"60 months",69600,26.22,2.66707,45449,90.9,"credit_card","MORTGAGE",1,1,10,5.6,"default",7,"credit_card","MORTGAGE"," > 1 Year",0.55
"44","Charged Off",10000,"36 months",70000,2.69,5.75057,6035,70.2,"credit_card","RENT",1,1,5,6,"default",3,"credit_card","RENT"," > 1 Year",0.45
"45","Charged Off",4000,"36 months",25000,6.86,6.44064,8546,79.7,"debt_consolidation","RENT",1,1,5,6,"default",3,"debt_consolidation","RENT"," > 1 Year",0.3
"46","Charged Off",10000,"36 months",39000,18.31,10.2818,11691,90.6,"credit_card","RENT",1,1,7,5.8,"default",11,"credit_card","RENT"," > 1 Year",0.35
"47","Charged Off",12000,"36 months",80000,9.13,5.7156,13088,83.5,"other","RENT",1,1,8,7,"default",8,"other","RENT"," > 1 Year",0.55
"48","Charged Off",16000,"60 months",35000,16.22,12.6199,19184,58.5,"small_business","RENT",1,1,6,4.2,"default",11,"small_business","RENT"," > 1 Year",0.55
"49","Charged Off",11875,"60 months",25920,23.75,12.4222,13932,94.1,"debt_consolidation","RENT",1,1,8,6,"default",1,"debt_consolidation","RENT"," > 1 Year",0.35
"50","Charged Off",14000,"36 months",45600,19.74,11.5282,15846,63.9,"debt_consolidation","OWN",1,1,5,6.8,"default",11,"debt_consolidation","OWN"," > 1 Year",0.3
"51","Charged Off",8000,"36 months",50000,13.22,6.77784,5106,72.9,"credit_card","RENT",1,1,9,3.2,"default",6,"credit_card","RENT"," > 1 Year",0.35
"52","Charged Off",30000,"60 months",70000,0.94,11.5495,1159,3.2,"small_business","RENT",1,1,7,5.8,"default",4,"small_business","RENT"," > 1 Year",0.6
"53","Charged Off",18000,"60 months",40000,18.42,13.3539,11147,73.4,"home_improvement","OWN",1,1,7,3.4,"default",7,"home_improvement","OWN"," > 1 Year",0.35
"54","Charged Off",20000,"60 months",59000,20.91,10.8454,32137,83.1,"debt_consolidation","OWN",1,1,16,3,"default",11,"debt_consolidation","OWN"," > 1 Year",0.4
"55","Charged Off",9000,"60 months",60000,22.56,4.76,21321,91.1,"credit_card","RENT",1,1,17,2.8,"default",4,"credit_card","RENT"," > 1 Year",0.35
"56","Charged Off",20000,"60 months",78216,10.79,7.34336,25161,80.3,"debt_consolidation","OWN",1,1,8,4.8,"default",11,"debt_consolidation","OWN"," > 1 Year",0.5
"57","Charged Off",5000,"36 months",30000,23.84,6.6832,7980,89.7,"debt_consolidation","RENT",1,1,8,5.8,"default",3,"debt_consolidation","RENT"," > 1 Year",0.25
"58","Charged Off",12000,"36 months",55000,13,8.43709,11774,75.5,"debt_consolidation","RENT",1,1,10,5.2,"default",11,"debt_consolidation","RENT"," > 1 Year",0.6
"59","Charged Off",10000,"36 months",32000,21.83,12.4035,7346,59.6,"credit_card","RENT",1,1,11,5.6,"default",6,"credit_card","RENT"," > 1 Year",0.55
"60","Charged Off",24000,"36 months",116400,3.94,7.85649,3885,8.1,"car","MORTGAGE",1,1,14,7,"default",11,"major_purchase","MORTGAGE"," > 1 Year",0.7
"61","Charged Off",12000,"36 months",57200,16.36,8.32699,22059,68.5,"debt_consolidation","RENT",1,1,11,5.6,"default",11,"debt_consolidation","RENT"," > 1 Year",0.45
"62","Charged Off",10000,"36 months",35000,12.03,11.5011,10472,84.6,"debt_consolidation","RENT",1,1,10,6,"default",3,"debt_consolidation","RENT"," > 1 Year",0.4
"63","Charged Off",9750,"36 months",35000,29.04,10.4002,13275,51.7,"debt_consolidation","RENT",1,1,9,6.6,"default",5,"debt_consolidation","RENT"," > 1 Year",0.35
"64","Charged Off",8875,"36 months",35360,23.11,10.1036,13003,71.1,"debt_consolidation","MORTGAGE",1,1,9,6,"default",6,"debt_consolidation","MORTGAGE"," > 1 Year",0.45
"65","Charged Off",12000,"36 months",32000,6.75,14.289,5329,59.2,"debt_consolidation","RENT",1,1,9,7,"default",4,"debt_consolidation","RENT"," > 1 Year",0.5
"66","Charged Off",15000,"60 months",30000,24.76,13.5572,16876,65.7,"debt_consolidation","OWN",1,1,7,6,"default",4,"debt_consolidation","OWN"," > 1 Year",0.6
"67","Charged Off",8050,"36 months",36000,14.8,9.00133,12000,81.3,"debt_consolidation","RENT",1,1,4,6,"default",2,"debt_consolidation","RENT"," > 1 Year",0.5
"68","Charged Off",6000,"60 months",30084,1.68,4.84164,2192,10,"debt_consolidation","RENT",1,1,6,6.8,"default",1,"debt_consolidation","RENT"," > 1 Year",0.55
"69","Charged Off",1500,"36 months",17000,4.59,3.86259,1497,99.8,"other","RENT",1,1,10,2.2,"default",1,"other","RENT"," > 1 Year",0.35
"70","Charged Off",20000,"60 months",75000,16.51,6.3928,21513,74.9,"debt_consolidation","RENT",1,1,10,4.6,"default",11,"debt_consolidation","RENT"," > 1 Year",0.55
"71","Charged Off",1000,"36 months",18408,6,2.24902,2510,83.7,"major_purchase","RENT",1,0,3,4.6,"default",0,"major_purchase","RENT"," < 1 Year",0.35
"72","Charged Off",8500,"36 months",50000,8.5,6.99912,9354,61.5,"debt_consolidation","RENT",1,1,15,4.4,"default",10,"debt_consolidation","RENT"," > 1 Year",0.7
"73","Charged Off",18000,"60 months",40000,18.18,11.9331,12806,68.8,"debt_consolidation","RENT",1,1,6,5.6,"default",1,"debt_consolidation","RENT"," > 1 Year",0.55
"74","Charged Off",14400,"36 months",51871,7.82,12.0856,8092,79.3,"debt_consolidation","RENT",1,1,5,4,"default",6,"debt_consolidation","RENT"," > 1 Year",0.6
"75","Charged Off",3000,"36 months",86004,13.37,1.36347,23964,64.6,"other","MORTGAGE",1,1,8,5.4,"default",11,"other","MORTGAGE"," > 1 Year",0.25
"76","Charged Off",15000,"36 months",110000,21.99,5.77647,40370,84.1,"small_business","RENT",0,1,12,3.2,"default",2,"small_business","RENT"," > 1 Year",0.55
"77","Charged Off",10000,"36 months",68000,17.15,6.31553,6754,92.5,"debt_consolidation","RENT",1,1,7,3.6,"default",9,"debt_consolidation","RENT"," > 1 Year",0.3
"78","Charged Off",16000,"36 months",51000,24.66,11.78,29485,81,"debt_consolidation","RENT",1,1,8,6.8,"default",2,"debt_consolidation","RENT"," > 1 Year",0.6
"79","Charged Off",2200,"36 months",48000,5.47,1.914,10130,83.7,"debt_consolidation","OWN",1,1,3,4.8,"default",11,"debt_consolidation","OWN"," > 1 Year",0.55
"80","Charged Off",8000,"60 months",51204,25.12,3.88282,20888,37.6,"debt_consolidation","RENT",1,1,16,7,"default",2,"debt_consolidation","RENT"," > 1 Year",0.45
"81","Charged Off",35000,"60 months",85000,16.39,8.75125,18515,76.5,"debt_consolidation","OWN",1,1,10,3,"default",4,"debt_consolidation","OWN"," > 1 Year",0.4
"82","Charged Off",12000,"60 months",75000,16.13,4.53248,16664,89.4,"credit_card","RENT",1,1,14,4.6,"default",1,"credit_card","RENT"," > 1 Year",0.4
"83","Charged Off",21250,"36 months",37000,14.27,23.0296,14899,69.3,"other","RENT",1,1,8,5.8,"default",6,"other","RENT"," > 1 Year",0.5
"84","Charged Off",15000,"36 months",60000,10.72,10.4394,12333,75.2,"debt_consolidation","RENT",1,1,7,4.8,"default",11,"debt_consolidation","RENT"," > 1 Year",0.55
"85","Charged Off",4000,"36 months",30000,17.6,5.3672,1296,5.5,"home_improvement","RENT",1,1,8,6,"default",7,"home_improvement","RENT"," > 1 Year",0.65
"86","Charged Off",4000,"60 months",45000,15.2,2.8208,3722,22.4,"house","RENT",1,0,5,2.8,"default",11,"home_improvement","RENT"," > 1 Year",0.5
"87","Charged Off",1700,"36 months",37800,27,1.68889,16333,91.2,"home_improvement","MORTGAGE",1,1,9,6.8,"default",0,"home_improvement","MORTGAGE"," < 1 Year",0.25
"88","Charged Off",12000,"36 months",54400,13.81,9.13103,13239,60.2,"debt_consolidation","RENT",1,1,14,4.6,"default",7,"debt_consolidation","RENT"," > 1 Year",0.45
"89","Charged Off",8000,"60 months",42500,14.23,6.02231,9870,95,"debt_consolidation","RENT",1,1,10,3,"default",2,"debt_consolidation","RENT"," > 1 Year",0.55
"90","Charged Off",13000,"36 months",28000,12.9,19.6676,6901,93.3,"debt_consolidation","RENT",1,1,4,3.2,"default",11,"debt_consolidation","RENT"," > 1 Year",0.4
"91","Charged Off",24000,"60 months",68809,21.29,10.5332,3343,25.3,"debt_consolidation","RENT",1,1,10,3.8,"default",6,"debt_consolidation","RENT"," > 1 Year",0.6
"92","Charged Off",11200,"36 months",75000,22.88,5.98816,25673,74.4,"car","RENT",1,1,8,5.8,"default",4,"major_purchase","RENT"," > 1 Year",0.35
"93","Charged Off",12000,"36 months",28000,8.49,17.6447,8738,68.5,"credit_card","RENT",1,1,9,4.4,"default",3,"credit_card","RENT"," > 1 Year",0.5
"94","Charged Off",28000,"36 months",118000,5.29,8.9098,11849,24.8,"home_improvement","MORTGAGE",1,1,7,6.8,"default",5,"home_improvement","MORTGAGE"," > 1 Year",0.7
"95","Charged Off",3000,"36 months",65000,4.89,1.73317,3413,85.3,"other","MORTGAGE",1,1,4,6.8,"default",11,"other","MORTGAGE"," > 1 Year",0.35
"96","Charged Off",8575,"36 months",32000,22.54,11.5579,20142,89.9,"debt_consolidation","MORTGAGE",1,1,4,3.8,"default",0,"debt_consolidation","MORTGAGE"," < 1 Year",0.55
"97","Charged Off",28000,"60 months",84996,23.41,5.90527,47111,44.2,"debt_consolidation","MORTGAGE",1,1,13,5.8,"default",9,"debt_consolidation","MORTGAGE"," > 1 Year",0.3
"98","Charged Off",16000,"60 months",49000,18.39,10.0036,22500,94.5,"credit_card","MORTGAGE",1,1,15,4,"default",11,"credit_card","MORTGAGE"," > 1 Year",0.45
"99","Charged Off",11000,"36 months",80000,4.74,5.163,7690,77.7,"credit_card","MORTGAGE",1,1,8,6.8,"default",5,"credit_card","MORTGAGE"," > 1 Year",0.4
"100","Charged Off",5000,"36 months",85000,22.81,2.49191,19925,90,"medical","MORTGAGE",1,1,9,3.2,"default",7,"medical","MORTGAGE"," > 1 Year",0.35
"101","Charged Off",10000,"36 months",36000,15.9,11.1817,6397,65.3,"debt_consolidation","OWN",1,1,8,6,"default",7,"debt_consolidation","OWN"," > 1 Year",0.55
"102","Charged Off",3000,"36 months",65000,15.16,1.95526,9089,60.2,"other","MORTGAGE",1,1,12,3.2,"default",5,"other","MORTGAGE"," > 1 Year",0.45
"103","Charged Off",7700,"36 months",29772,18.58,11.0298,9206,82.9,"other","RENT",1,1,6,3.4,"default",4,"other","RENT"," > 1 Year",0.4
"104","Charged Off",24500,"60 months",85000,9.09,9.336,19668,94.4,"credit_card","RENT",1,1,6,1.2,"default",5,"credit_card","RENT"," > 1 Year",0.4
"105","Charged Off",22200,"36 months",160000,13.33,6.13868,10070,89.1,"debt_consolidation","RENT",1,1,12,2.6,"default",3,"debt_consolidation","RENT"," > 1 Year",0.45
"106","Charged Off",13000,"36 months",28000,16.93,17.4334,14078,66.1,"credit_card","RENT",1,1,7,6.8,"default",11,"credit_card","RENT"," > 1 Year",0.55
"107","Charged Off",3600,"36 months",60000,19,2.4154,1104,13,"medical","MORTGAGE",1,0,10,6,"default",11,"medical","MORTGAGE"," > 1 Year",0.5
"108","Charged Off",12375,"60 months",40000,20.88,10.4937,13768,22.5,"other","RENT",1,1,27,0.4,"default",6,"other","RENT"," > 1 Year",0.6
"109","Charged Off",7100,"36 months",33000,23.85,8.90582,5148,41.5,"debt_consolidation","RENT",1,1,10,4.6,"default",2,"debt_consolidation","RENT"," > 1 Year",0.25
"110","Charged Off",22250,"36 months",41000,15.63,21.8453,15791,61.9,"debt_consolidation","RENT",1,1,8,6,"default",3,"debt_consolidation","RENT"," > 1 Year",0.45
"111","Charged Off",7650,"36 months",57000,23.96,5.32716,24086,63.4,"debt_consolidation","RENT",1,1,10,5.6,"default",6,"debt_consolidation","RENT"," > 1 Year",0.3
"112","Charged Off",20675,"60 months",50132,23.31,11.8439,9487,74.1,"other","RENT",1,1,6,4.8,"default",8,"other","RENT"," > 1 Year",0.55
"113","Charged Off",20500,"60 months",47800,28.32,11.6285,23823,52.2,"debt_consolidation","RENT",1,1,10,6,"default",1,"debt_consolidation","RENT"," > 1 Year",0.4
"114","Charged Off",29000,"60 months",65000,7.22,12.0234,18918,57.7,"debt_consolidation","RENT",1,1,6,5.8,"default",11,"debt_consolidation","RENT"," > 1 Year",0.5
"115","Charged Off",12000,"36 months",88000,10.6,5.74977,11434,77.8,"debt_consolidation","MORTGAGE",1,1,11,5,"default",10,"debt_consolidation","MORTGAGE"," > 1 Year",0.5
"116","Charged Off",10000,"36 months",30000,20.96,13.5724,2780,32,"debt_consolidation","RENT",1,1,10,4.2,"default",11,"debt_consolidation","RENT"," > 1 Year",0.6
"117","Charged Off",21600,"36 months",58600,10.85,15.8296,21912,95.3,"home_improvement","MORTGAGE",1,1,8,3.6,"default",3,"home_improvement","MORTGAGE"," > 1 Year",0.4
"118","Charged Off",8250,"60 months",27500,20.25,9.52015,7432,79.7,"wedding","RENT",1,1,8,2.8,"default",4,"other","RENT"," > 1 Year",0.5
"119","Charged Off",12000,"36 months",60000,6.3,8.0198,8894,78.7,"car","RENT",1,1,8,5.8,"default",1,"major_purchase","RENT"," > 1 Year",0.55
"120","Charged Off",7200,"36 months",33000,12.69,8.66,9071,70.3,"credit_card","RENT",1,1,10,5.6,"default",3,"credit_card","RENT"," > 1 Year",0.45
"121","Charged Off",10000,"36 months",35000,11.79,11.3403,11596,78.2,"debt_consolidation","OWN",1,1,9,5.6,"default",6,"debt_consolidation","OWN"," > 1 Year",0.4
"122","Charged Off",10000,"36 months",77400,20.05,5.31922,15862,87.6,"credit_card","MORTGAGE",1,1,14,4.4,"default",11,"credit_card","MORTGAGE"," > 1 Year",0.45
"123","Charged Off",6000,"36 months",30000,15.68,8.2344,13470,96.9,"credit_card","RENT",1,1,5,4.4,"default",8,"credit_card","RENT"," > 1 Year",0.5
"124","Charged Off",7000,"36 months",41000,20.31,7.28107,28651,97.8,"wedding","RENT",1,1,7,3.4,"default",1,"other","RENT"," > 1 Year",0.3
"125","Charged Off",3000,"36 months",30000,15.4,4.0256,9527,94.8,"debt_consolidation","RENT",1,1,11,6,"default",11,"debt_consolidation","RENT"," > 1 Year",0.35
"126","Charged Off",13200,"36 months",41600,9.55,12.5945,10086,77.6,"debt_consolidation","MORTGAGE",1,1,10,5.6,"default",3,"debt_consolidation","MORTGAGE"," > 1 Year",0.55
"127","Charged Off",14125,"36 months",45696,21.93,12.395,15831,91.5,"debt_consolidation","MORTGAGE",1,1,10,5.8,"default",0,"debt_consolidation","MORTGAGE"," < 1 Year",0.3
"128","Charged Off",18000,"36 months",66000,12.87,11.1045,13938,42.9,"debt_consolidation","OWN",1,1,10,4.2,"default",1,"debt_consolidation","OWN"," > 1 Year",0.6
"129","Charged Off",35000,"60 months",71316,14.79,9.69662,18651,75.5,"debt_consolidation","MORTGAGE",0,1,13,1.2,"default",11,"debt_consolidation","MORTGAGE"," > 1 Year",0.3
"130","Charged Off",16000,"60 months",50000,21.14,9.6636,21627,70.5,"debt_consolidation","RENT",1,1,8,3.8,"default",1,"debt_consolidation","RENT"," > 1 Year",0.35
"131","Charged Off",12000,"36 months",83000,8.36,5.39754,18692,82.7,"debt_consolidation","RENT",1,1,9,6.6,"default",1,"debt_consolidation","RENT"," > 1 Year",0.55
"132","Charged Off",13000,"36 months",42000,7.69,13.8606,11612,99.5,"debt_consolidation","RENT",1,1,5,3,"default",6,"debt_consolidation","RENT"," > 1 Year",0.3
"133","Charged Off",7125,"36 months",30000,18.12,8.8668,12648,68,"debt_consolidation","MORTGAGE",1,1,7,6.6,"default",1,"debt_consolidation","MORTGAGE"," > 1 Year",0.35
"134","Charged Off",9600,"36 months",55000,27.34,6.51644,10204,74.8,"debt_consolidation","RENT",1,1,10,6.6,"default",11,"debt_consolidation","RENT"," > 1 Year",0.35
"135","Charged Off",12000,"60 months",63000,20.67,5.16457,23888,64.1,"debt_consolidation","MORTGAGE",1,1,13,6,"default",11,"debt_consolidation","MORTGAGE"," > 1 Year",0.35
"136","Charged Off",15000,"36 months",38000,13.83,16.4833,14406,91.8,"credit_card","RENT",1,1,7,4.8,"default",7,"credit_card","RENT"," > 1 Year",0.4
"137","Charged Off",22250,"60 months",47532,23.76,13.4433,33474,58.1,"debt_consolidation","MORTGAGE",1,1,14,4.8,"default",3,"debt_consolidation","MORTGAGE"," > 1 Year",0.55
"138","Charged Off",6000,"36 months",37000,6.68,6.43654,5846,88.6,"small_business","RENT",1,1,4,5.6,"default",2,"small_business","RENT"," > 1 Year",0.45
"139","Charged Off",8200,"60 months",42000,5.06,5.79371,5941,90,"credit_card","RENT",1,1,6,3.4,"default",11,"credit_card","RENT"," > 1 Year",0.7
"140","Charged Off",15000,"60 months",37000,20.14,11.8203,8626,83.7,"credit_card","RENT",1,1,11,5,"default",9,"credit_card","RENT"," > 1 Year",0.25
"141","Charged Off",15700,"60 months",60000,9.12,5.1692,13577,89.9,"debt_consolidation","MORTGAGE",1,1,12,2.6,"default",1,"debt_consolidation","MORTGAGE"," > 1 Year",0.3
"142","Charged Off",35000,"60 months",235000,14.08,3.03202,42936,83.8,"credit_card","MORTGAGE",1,1,13,2.4,"default",5,"credit_card","MORTGAGE"," > 1 Year",0.6
"143","Charged Off",12000,"60 months",78000,13.18,3.18446,8038,45.2,"debt_consolidation","RENT",1,1,12,3.8,"default",11,"debt_consolidation","RENT"," > 1 Year",0.6
"144","Charged Off",13000,"60 months",55000,19.09,7.42342,10520,47.8,"credit_card","RENT",1,1,17,2.6,"default",8,"credit_card","RENT"," > 1 Year",0.6
"145","Charged Off",8000,"36 months",108000,12.48,3.09322,10957,81.8,"house","OWN",1,1,12,4.8,"default",3,"home_improvement","OWN"," > 1 Year",0.35
"146","Charged Off",1200,"36 months",34000,13.41,1.42094,9040,94.2,"vacation","RENT",1,1,6,6,"default",9,"other","RENT"," > 1 Year",0.25
"147","Charged Off",5000,"36 months",66000,7.75,2.84473,16396,47.9,"small_business","MORTGAGE",1,1,11,6.8,"default",1,"small_business","MORTGAGE"," > 1 Year",0.55
"148","Charged Off",13250,"36 months",35000,18.55,16.3282,5584,76.5,"debt_consolidation","RENT",0,1,7,3.8,"default",8,"debt_consolidation","RENT"," > 1 Year",0.45
"149","Charged Off",10000,"36 months",29406,10.41,13.4977,8692,82.5,"debt_consolidation","RENT",1,1,5,5.6,"default",6,"debt_consolidation","RENT"," > 1 Year",0.3
"150","Charged Off",2200,"36 months",26004,14.95,3.2718,3820,61.6,"debt_consolidation","RENT",1,1,3,5.2,"default",9,"debt_consolidation","RENT"," > 1 Year",0.45
"151","Charged Off",10625,"36 months",26500,15.49,16.5075,5872,80.4,"debt_consolidation","RENT",1,1,6,4.4,"default",11,"debt_consolidation","RENT"," > 1 Year",0.4
"152","Charged Off",7200,"36 months",88800,20.46,3.66027,17998,57.5,"debt_consolidation","MORTGAGE",1,1,34,1.2,"default",1,"debt_consolidation","MORTGAGE"," > 1 Year",0.25
"153","Charged Off",10400,"60 months",72000,8.82,4.822,9334,99.3,"debt_consolidation","MORTGAGE",1,1,8,2,"default",4,"debt_consolidation","MORTGAGE"," > 1 Year",0.4
"154","Charged Off",12000,"60 months",55000,14.49,6.02313,18622,50.1,"debt_consolidation","RENT",1,1,8,4.2,"default",10,"debt_consolidation","RENT"," > 1 Year",0.35
"155","Charged Off",10625,"36 months",30000,23.2,14.0576,12103,70.4,"credit_card","RENT",1,1,11,5.6,"default",1,"credit_card","RENT"," > 1 Year",0.3
"156","Charged Off",16400,"60 months",61500,12.51,7.99941,14906,72.3,"credit_card","RENT",1,1,6,3.6,"default",6,"credit_card","RENT"," > 1 Year",0.55
"157","Charged Off",30000,"60 months",110000,23.21,5.31535,26101,56.3,"small_business","MORTGAGE",1,1,17,3,"default",11,"small_business","MORTGAGE"," > 1 Year",0.55
"158","Charged Off",12000,"60 months",40000,18.66,8.9025,29089,92.1,"debt_consolidation","RENT",1,1,7,3.4,"default",7,"debt_consolidation","RENT"," > 1 Year",0.6
